year,cluster,critical_date,critical_day_of_year,max_autonomy_required,days_jan1_to_critical,workdays_jan1_to_critical,cumulative_production_jan1_to_critical,cumulative_demand_p99_jan1_to_critical,net_accumulation_jan1_to_critical,required_inventory_jan1,daily_production_rate,workdays_needed_for_prior,prior_start_days,production_start_date
2027,Cluster_1,2027-11-26,330,9228.983447239838,329,319,15732.637378598945,14639.077092702279,1093.5602858966668,8135.423161343171,49.31861247209701,164.95644856079335,171,2026-07-14
2027,Cluster_2,2027-11-26,330,6158.962482824617,329,319,10819.621078686294,9672.351064918555,1147.2700137677384,5011.6924690568785,33.91730745669685,147.7620968426059,153,2026-08-01
2028,Cluster_1,2028-11-24,329,21347.29698793067,328,318,38423.83555505895,34612.3555306555,3811.4800244034486,17535.81696352722,120.82967155678914,145.1284004797241,150,2027-08-04
2028,Cluster_2,2028-11-24,329,14009.172002786352,328,318,26005.807525848588,23643.896097900735,2361.9114279478526,11647.2605748385,81.7792689492094,142.42314371961746,147,2027-08-07
2029,Cluster_1,2029-11-23,327,35978.9731541409,326,316,79175.3646738501,72583.6180497505,6591.7466240996,29387.2265300413,250.55495149952563,117.28854829714645,121,2028-09-02
2029,Cluster_2,2029-11-23,327,24121.384942108238,326,316,53654.85061785488,50820.800339603215,2834.0502782516633,21287.334663856574,169.793831069161,125.37166120708912,130,2028-08-24
2030,Cluster_1,2030-10-09,282,55122.26424704061,281,272,100834.67263293097,88781.98350541542,12052.68912751555,43069.57511952506,370.71570820930503,116.17952561969159,120,2029-09-03
2030,Cluster_2,2030-11-22,326,36029.49072212508,325,315,80184.05192532403,72623.6630271862,7560.38889813784,28469.101823987243,254.55254579467947,111.83978433651276,116,2029-09-07
2031,Cluster_1,2031-10-09,282,63920.271813636406,281,272,120329.39948991776,104891.03667709448,15438.362812823281,48481.909000813124,442.3874981246977,109.5914988699507,113,2030-09-10
2031,Cluster_2,2031-10-09,282,43265.29348441152,281,272,82766.90787358268,73789.37176871633,8977.536104866347,34287.757379545175,304.2901024764069,112.6811457240995,117,2030-09-06
2032,Cluster_1,2032-11-26,331,68702.00221616335,330,320,157057.80605346523,141976.32505478212,15081.48099868311,53620.521217480244,490.80564391707884,109.25000941215619,113,2031-09-10
2032,Cluster_2,2032-11-26,331,47228.788752870976,330,320,106368.65351956645,96065.06107492083,10303.59244464562,36925.19630822536,332.40204224864516,111.0859489864517,115,2031-09-08
2033,Cluster_1,2033-11-07,311,72923.47061011136,310,300,158752.65991464216,137230.67818947005,21521.98172517211,51401.488884939245,529.1755330488072,97.13504437514943,101,2032-09-22
2033,Cluster_2,2033-09-06,249,49232.386862525236,248,240,86096.06919125075,76686.51634749024,9409.55284376051,39822.834018764726,358.7336216302115,111.00948340943286,115,2032-09-08
2034,Cluster_1,2034-10-09,282,82194.68117045985,281,272,156127.423378897,136945.65008309897,19181.77329579802,63012.90787466183,573.9978800694743,109.77899058971266,114,2033-09-09
2034,Cluster_2,2034-10-09,282,56787.67345832645,281,272,104549.51425359683,92587.21204995127,11962.302203645566,44825.37125468088,384.3732141676354,116.6193938663253,121,2033-09-02
